id,category,severity,title,description,vulnerable_code,fixed_code,fix_pattern,language,compiler_version,context,is_synthetic,generation_timestamp,variant_seed
SYNTH-00005780-00056,proxy_storage_collision,critical,Proxy Storage Collision in escrow contract (variant 5780),Flash loan attack vector in escrow price calculation,"function getCollateralValue() public view returns (uint256) {
    return balanceOfPool * getPrice();
}","// Variant 5780: escrow
function getCollateralValue() public view returns (uint256) {
    (uint256 reserve0, uint256 reserve1, ) = pool.getReserves();
    uint256 twapPrice = TWAP.getPrice(reserve0, reserve1);
    return Math.min(balanceOfPool, reserve0) * twapPrice / 1e18;
}",secure-pattern,solidity,0.8.20,escrow,True,2026-08-08T00:01:52.424301+00:00,5780
SYNTH-00000232-00018,proxy_storage_collision,medium,Proxy Storage Collision in insurance contract (variant 232),tx.origin authentication bypass in insurance,"function transferOwnership(address newOwner) public {
    require(tx.origin == owner, ""Not owner"");
    owner = newOwner;
}","function transferOwnership(address newOwner) public onlyOwner {
    require(newOwner != address(0), ""Zero address"");
    emit OwnershipTransferred(owner, newOwner);
    owner = newOwner;
}",secure-pattern,solidity,0.8.19,insurance,True,2026-08-08T00:01:52.549828+00:00,232
SYNTH-00009496-00028,front_running,critical,Front Running in staking contract (variant 9496),Delegatecall vulnerability in staking proxy pattern,"// Variant 9496: staking
function upgrade(address newImplementation) public {
    implementation = newImplementation;
}","function upgrade(address newImplementation) public onlyOwner {
    require(newImplementation != address(0), ""Zero address"");
    require(Address.isContract(newImplementation), ""Not a contract"");
    implementation = newImplementation;
}",secure-pattern,solidity,0.8.19,staking,True,2026-08-08T00:01:52.496819+00:00,9496
SYNTH-00006414-00030,reentrancy_eth,high,Reentrancy Eth in escrow contract (variant 6414),Unchecked external call in escrow allows reentrancy,"function execute(address target, bytes memory data) public {
    target.call(data);
}","function execute(address target, bytes memory data) public onlyRole(EXECUTOR_ROLE) nonReentrant {
    (bool success, bytes memory result) = target.call(data);
    require(success, string(result));
}",pull-over-push,solidity,0.8.22,escrow,True,2026-08-08T00:01:52.417299+00:00,6414
SYNTH-00007118-00022,integer_overflow,high,Integer Overflow in governance contract (variant 7118),tx.origin authentication bypass in governance,"// Variant 7118: governance
function transferOwnership(address newOwner) public {
    require(tx.origin == owner, ""Not owner"");
    owner = newOwner;
}","function transferOwnership(address newOwner) public onlyOwner {
    require(newOwner != address(0), ""Zero address"");
    emit OwnershipTransferred(owner, newOwner);
    owner = newOwner;
}",secure-pattern,solidity,0.8.19,governance,True,2026-08-08T00:01:52.417299+00:00,7118
SYNTH-00007441-00083,reentrancy_read,critical,Reentrancy Read in dex contract (variant 7441),reentrancy_read vulnerability in dex contract allows unauthorized access,"// Variant 7441: dex
function withdraw() public {
    uint256 amount = balances[msg.sender];
    (bool success, ) = msg.sender.call{value: amount}("""");
    require(success);
    balances[msg.sender] = 0;
}","// Variant 7441: dex
function withdraw() public nonReentrant {
    uint256 amount = balances[msg.sender];
    require(amount > 0, ""No balance"");
    balances[msg.sender] = 0;
    (bool success, ) = msg.sender.call{value: amount}("""");
    require(success, ""Transfer failed"");
}",checks-effects-interactions,solidity,0.8.19,dex,True,2026-08-08T00:01:52.425300+00:00,7441
SYNTH-00002964-00095,approval_race_condition,low,Approval Race Condition in yield_farming contract (variant 2964),Unprotected selfdestruct in yield_farming contract,"function destroy() public {
    selfdestruct(payable(msg.sender));
}","// Variant 2964: yield_farming
function destroy() public onlyOwner {
    emit ContractDestroyed(address(this));
    selfdestruct(payable(owner));
}",secure-pattern,solidity,0.8.22,yield_farming,True,2026-08-08T00:01:52.440304+00:00,2964
SYNTH-00009491-00052,reentrancy_no_eth,medium,Reentrancy No Eth in options contract (variant 9491),Flash loan attack vector in options price calculation,"// Variant 9491: options
function getCollateralValue() public view returns (uint256) {
    return balanceOfPool * getPrice();
}","function getCollateralValue() public view returns (uint256) {
    (uint256 reserve0, uint256 reserve1, ) = pool.getReserves();
    uint256 twapPrice = TWAP.getPrice(reserve0, reserve1);
    return Math.min(balanceOfPool, reserve0) * twapPrice / 1e18;
}",reentrancy-guard,solidity,0.8.19,options,True,2026-08-08T00:01:52.442300+00:00,9491
SYNTH-00008716-00069,delegatecall_bugs,medium,Delegatecall Bugs in perpetual contract (variant 8716),tx.origin authentication bypass in perpetual,"function transferOwnership(address newOwner) public {
    require(tx.origin == owner, ""Not owner"");
    owner = newOwner;
}","function transferOwnership(address newOwner) public onlyOwner {
    require(newOwner != address(0), ""Zero address"");
    emit OwnershipTransferred(owner, newOwner);
    owner = newOwner;
}",secure-pattern,solidity,0.8.19,perpetual,True,2026-08-08T00:01:52.506820+00:00,8716
SYNTH-00007441-00065,reentrancy_read,critical,Reentrancy Read in dex contract (variant 7441),reentrancy_read vulnerability in dex contract allows unauthorized access,"// Variant 7441: dex
function withdraw() public {
    uint256 amount = balances[msg.sender];
    (bool success, ) = msg.sender.call{value: amount}("""");
    require(success);
    balances[msg.sender] = 0;
}","// Variant 7441: dex
function withdraw() public nonReentrant {
    uint256 amount = balances[msg.sender];
    require(amount > 0, ""No balance"");
    balances[msg.sender] = 0;
    (bool success, ) = msg.sender.call{value: amount}("""");
    require(success, ""Transfer failed"");
}",checks-effects-interactions,solidity,0.8.19,dex,True,2026-08-08T00:01:52.550829+00:00,7441
SYNTH-00005067-00008,sandwich_attack,low,Sandwich Attack in lending contract (variant 5067),Flash loan attack vector in lending price calculation,"function getCollateralValue() public view returns (uint256) {
    return balanceOfPool * getPrice();
}","// Variant 5067: lending
function getCollateralValue() public view returns (uint256) {
    (uint256 reserve0, uint256 reserve1, ) = pool.getReserves();
    uint256 twapPrice = TWAP.getPrice(reserve0, reserve1);
    return Math.min(balanceOfPool, reserve0) * twapPrice / 1e18;
}",secure-pattern,solidity,0.8.20,lending,True,2026-08-08T00:01:52.416297+00:00,5067
SYNTH-00004626-00098,flash_loan_attack,medium,Flash Loan Attack in bridge contract (variant 4626),Signature replay attack in bridge permit function,"function permit(address owner, uint256 amount, bytes memory sig) public {
    require(verify(sig, owner), ""Invalid sig"");
    allowance[owner][msg.sender] = amount;
}","// Variant 4626: bridge
function permit(address owner, address spender, uint256 amount, uint256 deadline, uint8 v, bytes32 r, bytes32 s) public {
    require(block.timestamp <= deadline, ""Expired"");
    bytes32 hash = keccak256(abi.encodePacked(owner, spender, amount, nonces[owner]++, deadline));
    require(ecrecover(hash, v, r, s) == owner, ""Invalid sig"");
    _approve(owner, spender, amount);
}",secure-pattern,solidity,0.8.20,bridge,True,2026-08-08T00:01:52.545820+00:00,4626
SYNTH-00004358-00014,signature_replay,low,Signature Replay in bridge contract (variant 4358),Delegatecall vulnerability in bridge proxy pattern,"// Variant 4358: bridge
function upgrade(address newImplementation) public {
    implementation = newImplementation;
}","function upgrade(address newImplementation) public onlyOwner {
    require(newImplementation != address(0), ""Zero address"");
    require(Address.isContract(newImplementation), ""Not a contract"");
    implementation = newImplementation;
}",secure-pattern,solidity,0.8.20,bridge,True,2026-08-08T00:01:52.438305+00:00,4358
SYNTH-00005560-00032,arbitrary_external_call,medium,Arbitrary External Call in options contract (variant 5560),Unprotected selfdestruct in options contract,"// Variant 5560: options
function destroy() public {
    selfdestruct(payable(msg.sender));
}","function destroy() public onlyOwner {
    emit ContractDestroyed(address(this));
    selfdestruct(payable(owner));
}",secure-pattern,solidity,0.8.19,options,True,2026-08-08T00:01:52.628345+00:00,5560
SYNTH-00003504-00061,unchecked_send,low,Unchecked Send in nft_marketplace contract (variant 3504),Integer overflow in nft_marketplace balance calculation,"// Variant 3504: nft_marketplace
function addBalance(uint256 amount) public {
    balance += amount;
}","function addBalance(uint256 amount) public {
    uint256 newBalance = balance + amount;
    require(newBalance >= balance, ""Overflow"");
    balance = newBalance;
}",secure-pattern,solidity,0.8.22,nft_marketplace,True,2026-08-08T00:01:52.620342+00:00,3504
SYNTH-00002771-00072,integer_overflow,high,Integer Overflow in dao contract (variant 2771),integer_overflow vulnerability in dao contract allows unauthorized access,"function withdraw() public {
    uint256 amount = balances[msg.sender];
    (bool success, ) = msg.sender.call{value: amount}("""");
    require(success);
    balances[msg.sender] = 0;
}","// Variant 2771: dao
function withdraw() public nonReentrant {
    uint256 amount = balances[msg.sender];
    require(amount > 0, ""No balance"");
    balances[msg.sender] = 0;
    (bool success, ) = msg.sender.call{value: amount}("""");
    require(success, ""Transfer failed"");
}",secure-pattern,solidity,0.8.21,dao,True,2026-08-08T00:01:52.626345+00:00,2771
SYNTH-00006172-00032,tx_origin_auth,high,Tx Origin Auth in payment_splitter contract (variant 6172),Missing access control on payment_splitter critical function,"// Variant 6172: payment_splitter
function mint(address to, uint256 amount) public {
    _mint(to, amount);
}","function mint(address to, uint256 amount) public onlyRole(MINTER_ROLE) {
    require(to != address(0), ""Invalid address"");
    _mint(to, amount);
}",secure-pattern,solidity,0.8.22,payment_splitter,True,2026-08-08T00:01:52.543820+00:00,6172
SYNTH-00006414-00018,reentrancy_eth,high,Reentrancy Eth in escrow contract (variant 6414),Unchecked external call in escrow allows reentrancy,"function execute(address target, bytes memory data) public {
    target.call(data);
}","function execute(address target, bytes memory data) public onlyRole(EXECUTOR_ROLE) nonReentrant {
    (bool success, bytes memory result) = target.call(data);
    require(success, string(result));
}",pull-over-push,solidity,0.8.22,escrow,True,2026-08-08T00:01:52.496819+00:00,6414
SYNTH-00001149-00002,erc777_reentrancy,medium,Erc777 Reentrancy in money_market contract (variant 1149),Unchecked external call in money_market allows reentrancy,"function execute(address target, bytes memory data) public {
    target.call(data);
}","// Variant 1149: money_market
function execute(address target, bytes memory data) public onlyRole(EXECUTOR_ROLE) nonReentrant {
    (bool success, bytes memory result) = target.call(data);
    require(success, string(result));
}",secure-pattern,solidity,0.8.20,money_market,True,2026-08-08T00:01:52.440304+00:00,1149
SYNTH-00001479-00039,unchecked_return_value,high,Unchecked Return Value in money_market contract (variant 1479),Missing access control on money_market critical function,"function mint(address to, uint256 amount) public {
    _mint(to, amount);
}","function mint(address to, uint256 amount) public onlyRole(MINTER_ROLE) {
    require(to != address(0), ""Invalid address"");
    _mint(to, amount);
}",secure-pattern,solidity,0.8.20,money_market,True,2026-08-08T00:01:52.499819+00:00,1479
SYNTH-00007572-00013,proxy_storage_collision,critical,Proxy Storage Collision in perpetual contract (variant 7572),Integer overflow in perpetual balance calculation,"// Variant 7572: perpetual
function addBalance(uint256 amount) public {
    balance += amount;
}","// Variant 7572: perpetual
function addBalance(uint256 amount) public {
    uint256 newBalance = balance + amount;
    require(newBalance >= balance, ""Overflow"");
    balance = newBalance;
}",secure-pattern,solidity,0.8.20,perpetual,True,2026-08-08T00:01:52.549828+00:00,7572
SYNTH-00001149-00039,erc777_reentrancy,medium,Erc777 Reentrancy in money_market contract (variant 1149),Unchecked external call in money_market allows reentrancy,"function execute(address target, bytes memory data) public {
    target.call(data);
}","// Variant 1149: money_market
function execute(address target, bytes memory data) public onlyRole(EXECUTOR_ROLE) nonReentrant {
    (bool success, bytes memory result) = target.call(data);
    require(success, string(result));
}",secure-pattern,solidity,0.8.20,money_market,True,2026-08-08T00:01:52.448303+00:00,1149
SYNTH-00002964-00026,approval_race_condition,low,Approval Race Condition in yield_farming contract (variant 2964),Unprotected selfdestruct in yield_farming contract,"function destroy() public {
    selfdestruct(payable(msg.sender));
}","// Variant 2964: yield_farming
function destroy() public onlyOwner {
    emit ContractDestroyed(address(this));
    selfdestruct(payable(owner));
}",secure-pattern,solidity,0.8.22,yield_farming,True,2026-08-08T00:01:52.407299+00:00,2964
SYNTH-00003790-00053,tx_origin_auth,medium,Tx Origin Auth in dao contract (variant 3790),Single-source price oracle vulnerable to manipulation in dao,"function getPrice() public view returns (uint256) {
    return spotPrice;
}","// Variant 3790: dao
function getPrice() public view returns (uint256) {
    (uint256 reserve0, uint256 reserve1, ) = pool.getReserves();
    return reserve0 * 1e18 / reserve1;
}",secure-pattern,solidity,0.8.19,dao,True,2026-08-08T00:01:52.433300+00:00,3790
SYNTH-00005067-00059,sandwich_attack,low,Sandwich Attack in lending contract (variant 5067),Flash loan attack vector in lending price calculation,"function getCollateralValue() public view returns (uint256) {
    return balanceOfPool * getPrice();
}","// Variant 5067: lending
function getCollateralValue() public view returns (uint256) {
    (uint256 reserve0, uint256 reserve1, ) = pool.getReserves();
    uint256 twapPrice = TWAP.getPrice(reserve0, reserve1);
    return Math.min(balanceOfPool, reserve0) * twapPrice / 1e18;
}",secure-pattern,solidity,0.8.20,lending,True,2026-08-08T00:01:52.626345+00:00,5067
SYNTH-00001657-00031,uups_initialization_bypass,medium,Uups Initialization Bypass in options contract (variant 1657),Signature replay attack in options permit function,"// Variant 1657: options
function permit(address owner, uint256 amount, bytes memory sig) public {
    require(verify(sig, owner), ""Invalid sig"");
    allowance[owner][msg.sender] = amount;
}","function permit(address owner, address spender, uint256 amount, uint256 deadline, uint8 v, bytes32 r, bytes32 s) public {
    require(block.timestamp <= deadline, ""Expired"");
    bytes32 hash = keccak256(abi.encodePacked(owner, spender, amount, nonces[owner]++, deadline));
    require(ecrecover(hash, v, r, s) == owner, ""Invalid sig"");
    _approve(owner, spender, amount);
}",secure-pattern,solidity,0.8.20,options,True,2026-08-08T00:01:52.496819+00:00,1657
SYNTH-00005968-00093,storage_slot_collision,critical,Storage Slot Collision in insurance contract (variant 5968),Integer overflow in insurance balance calculation,"// Variant 5968: insurance
function addBalance(uint256 amount) public {
    balance += amount;
}","function addBalance(uint256 amount) public {
    uint256 newBalance = balance + amount;
    require(newBalance >= balance, ""Overflow"");
    balance = newBalance;
}",secure-pattern,solidity,0.8.20,insurance,True,2026-08-08T00:01:52.456303+00:00,5968
SYNTH-00009615-00038,oracle_manipulation,low,Oracle Manipulation in derivatives contract (variant 9615),Single-source price oracle vulnerable to manipulation in derivatives,"function getPrice() public view returns (uint256) {
    return spotPrice;
}","function getPrice() public view returns (uint256) {
    (uint256 reserve0, uint256 reserve1, ) = pool.getReserves();
    return reserve0 * 1e18 / reserve1;
}",secure-pattern,solidity,0.8.22,derivatives,True,2026-08-08T00:01:52.448303+00:00,9615
SYNTH-00009491-00036,reentrancy_no_eth,medium,Reentrancy No Eth in options contract (variant 9491),Flash loan attack vector in options price calculation,"// Variant 9491: options
function getCollateralValue() public view returns (uint256) {
    return balanceOfPool * getPrice();
}","function getCollateralValue() public view returns (uint256) {
    (uint256 reserve0, uint256 reserve1, ) = pool.getReserves();
    uint256 twapPrice = TWAP.getPrice(reserve0, reserve1);
    return Math.min(balanceOfPool, reserve0) * twapPrice / 1e18;
}",reentrancy-guard,solidity,0.8.19,options,True,2026-08-08T00:01:52.432301+00:00,9491
SYNTH-00003469-00081,tx_origin_auth,high,Tx Origin Auth in dao contract (variant 3469),tx_origin_auth vulnerability in dao contract allows unauthorized access,"function withdraw() public {
    uint256 amount = balances[msg.sender];
    (bool success, ) = msg.sender.call{value: amount}("""");
    require(success);
    balances[msg.sender] = 0;
}","function withdraw() public nonReentrant {
    uint256 amount = balances[msg.sender];
    require(amount > 0, ""No balance"");
    balances[msg.sender] = 0;
    (bool success, ) = msg.sender.call{value: amount}("""");
    require(success, ""Transfer failed"");
}",secure-pattern,solidity,0.8.22,dao,True,2026-08-08T00:01:52.440304+00:00,3469
SYNTH-00001637-00078,flash_loan_attack,medium,Flash Loan Attack in token contract (variant 1637),Single-source price oracle vulnerable to manipulation in token,"function getPrice() public view returns (uint256) {
    return spotPrice;
}","function getPrice() public view returns (uint256) {
    (uint256 reserve0, uint256 reserve1, ) = pool.getReserves();
    return reserve0 * 1e18 / reserve1;
}",secure-pattern,solidity,0.8.22,token,True,2026-08-08T00:01:52.455305+00:00,1637
SYNTH-00005560-00018,arbitrary_external_call,medium,Arbitrary External Call in options contract (variant 5560),Unprotected selfdestruct in options contract,"// Variant 5560: options
function destroy() public {
    selfdestruct(payable(msg.sender));
}","function destroy() public onlyOwner {
    emit ContractDestroyed(address(this));
    selfdestruct(payable(owner));
}",secure-pattern,solidity,0.8.19,options,True,2026-08-08T00:01:52.426301+00:00,5560
SYNTH-00001451-00079,front_running,medium,Front Running in money_market contract (variant 1451),Integer overflow in money_market balance calculation,"function addBalance(uint256 amount) public {
    balance += amount;
}","function addBalance(uint256 amount) public {
    uint256 newBalance = balance + amount;
    require(newBalance >= balance, ""Overflow"");
    balance = newBalance;
}",secure-pattern,solidity,0.8.22,money_market,True,2026-08-08T00:01:52.424301+00:00,1451
SYNTH-00007098-00056,reentrancy_read,high,Reentrancy Read in lending contract (variant 7098),Flash loan attack vector in lending price calculation,"function getCollateralValue() public view returns (uint256) {
    return balanceOfPool * getPrice();
}","// Variant 7098: lending
function getCollateralValue() public view returns (uint256) {
    (uint256 reserve0, uint256 reserve1, ) = pool.getReserves();
    uint256 twapPrice = TWAP.getPrice(reserve0, reserve1);
    return Math.min(balanceOfPool, reserve0) * twapPrice / 1e18;
}",pull-over-push,solidity,0.8.19,lending,True,2026-08-08T00:01:52.460303+00:00,7098
SYNTH-00009212-00096,storage_collision_upgrade,high,Storage Collision Upgrade in perpetual contract (variant 9212),Unprotected selfdestruct in perpetual contract,"// Variant 9212: perpetual
function destroy() public {
    selfdestruct(payable(msg.sender));
}","function destroy() public onlyOwner {
    emit ContractDestroyed(address(this));
    selfdestruct(payable(owner));
}",secure-pattern,solidity,0.8.22,perpetual,True,2026-08-08T00:01:52.425300+00:00,9212
SYNTH-00008937-00070,integer_overflow,critical,Integer Overflow in perpetual contract (variant 8937),Unchecked external call in perpetual allows reentrancy,"function execute(address target, bytes memory data) public {
    target.call(data);
}","// Variant 8937: perpetual
function execute(address target, bytes memory data) public onlyRole(EXECUTOR_ROLE) nonReentrant {
    (bool success, bytes memory result) = target.call(data);
    require(success, string(result));
}",secure-pattern,solidity,0.8.22,perpetual,True,2026-08-08T00:01:52.458304+00:00,8937
SYNTH-00002405-00008,unsafe_erc20_transfer,low,Unsafe Erc20 Transfer in escrow contract (variant 2405),Unprotected selfdestruct in escrow contract,"function destroy() public {
    selfdestruct(payable(msg.sender));
}","function destroy() public onlyOwner {
    emit ContractDestroyed(address(this));
    selfdestruct(payable(owner));
}",secure-pattern,solidity,0.8.19,escrow,True,2026-08-08T00:01:52.456303+00:00,2405
SYNTH-00001058-00072,oracle_manipulation,low,Oracle Manipulation in yield_farming contract (variant 1058),Unchecked external call in yield_farming allows reentrancy,"// Variant 1058: yield_farming
function execute(address target, bytes memory data) public {
    target.call(data);
}","// Variant 1058: yield_farming
function execute(address target, bytes memory data) public onlyRole(EXECUTOR_ROLE) nonReentrant {
    (bool success, bytes memory result) = target.call(data);
    require(success, string(result));
}",secure-pattern,solidity,0.8.19,yield_farming,True,2026-08-08T00:01:52.550829+00:00,1058
SYNTH-00007838-00083,dos_gas_limit,high,Dos Gas Limit in options contract (variant 7838),Unchecked external call in options allows reentrancy,"function execute(address target, bytes memory data) public {
    target.call(data);
}","function execute(address target, bytes memory data) public onlyRole(EXECUTOR_ROLE) nonReentrant {
    (bool success, bytes memory result) = target.call(data);
    require(success, string(result));
}",secure-pattern,solidity,0.8.21,options,True,2026-08-08T00:01:52.446298+00:00,7838
SYNTH-00009112-00077,uups_initialization_bypass,high,Uups Initialization Bypass in staking contract (variant 9112),Unchecked external call in staking allows reentrancy,"// Variant 9112: staking
function execute(address target, bytes memory data) public {
    target.call(data);
}","// Variant 9112: staking
function execute(address target, bytes memory data) public onlyRole(EXECUTOR_ROLE) nonReentrant {
    (bool success, bytes memory result) = target.call(data);
    require(success, string(result));
}",secure-pattern,solidity,0.8.21,staking,True,2026-08-08T00:01:52.418297+00:00,9112
SYNTH-00001880-00088,reentrancy_read,critical,Reentrancy Read in yield_farming contract (variant 1880),Unchecked external call in yield_farming allows reentrancy,"function execute(address target, bytes memory data) public {
    target.call(data);
}","function execute(address target, bytes memory data) public onlyRole(EXECUTOR_ROLE) nonReentrant {
    (bool success, bytes memory result) = target.call(data);
    require(success, string(result));
}",checks-effects-interactions,solidity,0.8.22,yield_farming,True,2026-08-08T00:01:52.630345+00:00,1880
SYNTH-00007838-00081,dos_gas_limit,high,Dos Gas Limit in options contract (variant 7838),Unchecked external call in options allows reentrancy,"function execute(address target, bytes memory data) public {
    target.call(data);
}","function execute(address target, bytes memory data) public onlyRole(EXECUTOR_ROLE) nonReentrant {
    (bool success, bytes memory result) = target.call(data);
    require(success, string(result));
}",secure-pattern,solidity,0.8.21,options,True,2026-08-08T00:01:52.501820+00:00,7838
SYNTH-00001637-00096,flash_loan_attack,medium,Flash Loan Attack in token contract (variant 1637),Single-source price oracle vulnerable to manipulation in token,"function getPrice() public view returns (uint256) {
    return spotPrice;
}","function getPrice() public view returns (uint256) {
    (uint256 reserve0, uint256 reserve1, ) = pool.getReserves();
    return reserve0 * 1e18 / reserve1;
}",secure-pattern,solidity,0.8.22,token,True,2026-08-08T00:01:52.542820+00:00,1637
SYNTH-00005367-00011,front_running,medium,Front Running in derivatives contract (variant 5367),Flash loan attack vector in derivatives price calculation,"function getCollateralValue() public view returns (uint256) {
    return balanceOfPool * getPrice();
}","function getCollateralValue() public view returns (uint256) {
    (uint256 reserve0, uint256 reserve1, ) = pool.getReserves();
    uint256 twapPrice = TWAP.getPrice(reserve0, reserve1);
    return Math.min(balanceOfPool, reserve0) * twapPrice / 1e18;
}",secure-pattern,solidity,0.8.22,derivatives,True,2026-08-08T00:01:52.428300+00:00,5367
SYNTH-00007893-00050,integer_overflow,critical,Integer Overflow in staking contract (variant 7893),Unprotected selfdestruct in staking contract,"function destroy() public {
    selfdestruct(payable(msg.sender));
}","// Variant 7893: staking
function destroy() public onlyOwner {
    emit ContractDestroyed(address(this));
    selfdestruct(payable(owner));
}",secure-pattern,solidity,0.8.22,staking,True,2026-08-08T00:01:52.460303+00:00,7893
SYNTH-00005637-00022,proxy_storage_collision,high,Proxy Storage Collision in insurance contract (variant 5637),Single-source price oracle vulnerable to manipulation in insurance,"function getPrice() public view returns (uint256) {
    return spotPrice;
}","function getPrice() public view returns (uint256) {
    (uint256 reserve0, uint256 reserve1, ) = pool.getReserves();
    return reserve0 * 1e18 / reserve1;
}",secure-pattern,solidity,0.8.22,insurance,True,2026-08-08T00:01:52.423303+00:00,5637
SYNTH-00003790-00061,tx_origin_auth,medium,Tx Origin Auth in dao contract (variant 3790),Single-source price oracle vulnerable to manipulation in dao,"function getPrice() public view returns (uint256) {
    return spotPrice;
}","// Variant 3790: dao
function getPrice() public view returns (uint256) {
    (uint256 reserve0, uint256 reserve1, ) = pool.getReserves();
    return reserve0 * 1e18 / reserve1;
}",secure-pattern,solidity,0.8.19,dao,True,2026-08-08T00:01:52.544819+00:00,3790
